Curso;Part.Prdo;NRC;Nivel;Grupo;Cupo Actual;Cupo Min.;Cupo Mat.;Cupo Dispo.;Cred.Cobr.;Tipo Horario;Met.Educativo;Días;Horas;Edificios;Aula;Profesor
COA1040 PENSAM CRÍTICO Y CULTU CONTEMP;1;50031;0;82;30;30;29;1;3;CTP;VIR;M;1400-1630;S101RB;C004;LAURA MESEN MENDEZ
COA1040 PENSAM CRÍTICO Y CULTU CONTEMP;1;50036;0;83;36;30;36;0;3;CTP;VIR;J;1400-1630;S101RB;A006;GABRIELA MENDEZ BARBOZA
COA1050 EXTENSIÓN UNIV TRANSFORMÓ SOCI;1;52846;0;89;35;30;32;3;3;CTP;PRE;I;0800-1120;S101RB;C004;DANIELA VÁSQUEZ PINO
